ID,NOMBRE ESTADO,SIGLADO,ID DTTO,CABECERA,ORIGEN PARTIDARIO,GRUPO
51,GUERRERO,PT,5,TLAPA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
52,GUERRERO,MORENA,6,CHILAPA,MORENA,MORENA
53,GUERRERO,MORENA,7,CHILPANCINGO,MORENA,MORENA
54,GUERRERO,PVEM,8,AYUTLA DE LOS,PARTIDO VERDE,PARTIDO VERDE
,,,,LIBRES,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
55,HIDALGO,MORENA,1,HUEJUTLA DE,MORENA,MORENA
,,,,REYES,,
56,HIDALGO,PVEM,2,IXMIQUILPAN,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
57,HIDALGO,MORENA,4,TULANCINGO DE,MORENA,MORENA
,,,,BRAVO,,
58,HIDALGO,PVEM,5,TULA DE ALLENDE,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
59,HIDALGO,MORENA,6,PACHUCA DE SOTO,MORENA,MORENA
60,JALISCO,MORENA,1,TEQUILA,MORENA,MORENA
61,JALISCO,PVEM,4,ZAPOPAN,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
62,JALISCO,MORENA,5,PUERTO VALLARTA,MORENA,MORENA
63,JALISCO,PVEM,6,ZAPOPAN,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
64,JALISCO,MORENA,7,TONALÁ,MORENA,MORENA
65,JALISCO,PVEM,8,GUADALAJARA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
66,JALISCO,PVEM,9,GUADALAJARA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
67,JALISCO,MORENA,10,ZAPOPAN,MORENA,MORENA
68,JALISCO,MORENA,11,GUADALAJARA,MORENA,MORENA
69,JALISCO,MORENA,12,SANTA CRUZ DE,MORENA,MORENA
,,,,LAS FLORES,,
70,JALISCO,MORENA,13,TLAQUEPAQUE,MORENA,MORENA
71,JALISCO,PVEM,14,GUADALAJARA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
72,JALISCO,MORENA,15,LA BARCA,MORENA,MORENA
73,JALISCO,MORENA,16,TLAQUEPAQUE,MORENA,MORENA
74,JALISCO,PVEM,17,JOCOTEPEC,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
75,JALISCO,MORENA,18,AUTLÁN DE,MORENA,MORENA
,,,,NAVARRO,,
76,JALISCO,MORENA,19,CIUDAD GUZMÁN,MORENA,MORENA
77,JALISCO,PT,20,TONALÁ,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
78,MÉXICO,PVEM,1,JILOTEPEC DE,PARTIDO VERDE,PARTIDO VERDE
,,,,ANDRÉS MOLINA,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,ENRÍQUEZ,MÉXICO,
79,MÉXICO,PT,2,SANTA MARÍA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,TULTEPEC,TRABAJO,
80,MÉXICO,PT,3,ATLACOMULCO DE,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,FABELA,TRABAJO,
81,MÉXICO,MORENA,4,NICOLÁS ROMERO,MORENA,MORENA
82,MÉXICO,PT,5,TEOTIHUACÁN DE,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,ARISTA,TRABAJO,
83,MÉXICO,PVEM,6,COACALCO,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
,,,,,,
84,MÉXICO,MORENA,12,IXTAPALUCA,MORENA,MORENA
85,MÉXICO,PT,14,CIUDAD ADOLFO,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,LÓPEZ MATEOS,TRABAJO,
86,MÉXICO,PT,15,CIUDAD ADOLFO,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,LÓPEZ MATEOS,TRABAJO,
87,MÉXICO,PT,16,ECATEPEC DE,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,MORELOS,TRABAJO,
88,MÉXICO,MORENA,24,NAUCALPAN DE,MORENA,MORENA
,,,,JUÁREZ,,
89,MÉXICO,PVEM,26,TOLUCA DE LERDO,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
90,MÉXICO,PT,27,METEPEC,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
91,MÉXICO,MORENA,30,CHIMALHUACÁN,MORENA,MORENA
92,MÉXICO,PT,32,VALLE DE CHALCO,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,SOLIDARIDAD,TRABAJO,
93,MÉXICO,MORENA,34,TOLUCA DE LERDO,MORENA,MORENA
94,MÉXICO,MORENA,35,TENANCINGO DE,MORENA,MORENA
,,,,DEGOLLADO,,
95,MÉXICO,PT,39,LOS REYES,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,ACAQUILPAN,TRABAJO,
96,MÉXICO,PVEM,41,OJO DE AGUA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
97,MICHOACÁN,PT,3,HEROICA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,ZITÁCUARO,TRABAJO,
98,MICHOACÁN,PT,12,APATZINGÁN DE LA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,CONSTITUCIÓN,TRABAJO,
99,MORELOS,MORENA,2,JIUTEPEC,MORENA,MORENA
100,MORELOS,MORENA,4,JOJUTLA,MORENA,MORENA
101,NAYARIT,MORENA,1,SANTIAGO,MORENA,MORENA
,,,,IXCUINTLA,,
102,NAYARIT,PVEM,2,TEPIC,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
103,NAYARIT,PT,3,COMPOSTELA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
104,NUEVO LEÓN,MORENA,2,APODACA,MORENA,MORENA
105,NUEVO LEÓN,PT,3,GRAL. ESCOBEDO,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
106,NUEVO LEÓN,PT,5,MONTERREY,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
107,NUEVO LEÓN,PVEM,7,GARCÍA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
108,NUEVO LEÓN,PVEM,8,GUADALUPE,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
109,NUEVO LEÓN,PVEM,10,MONTERREY,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
110,NUEVO LEÓN,PT,11,GUADALUPE,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
111,NUEVO LEÓN,MORENA,12,BENITO JUÁREZ,MORENA,MORENA
112,OAXACA,MORENA,1,SAN JUAN,MORENA,MORENA
,,,,BAUTISTA,,
,,,,TUXTEPEC,,
113,OAXACA,PT,3,HEROICA CIUDAD,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,DE HUAJUAPAN DE,TRABAJO,
,,,,LEÓN,,
114,OAXACA,MORENA,4,TLACOLULA DE,MORENA,MORENA
,,,,MATAMOROS,,
115,OAXACA,MORENA,5,SALINA CRUZ,MORENA,MORENA
116,OAXACA,PVEM,7,CIUDAD IXTEPEC,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
,,,,,,
117,OAXACA,PT,8,OAXACA DE JUÁREZ,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
118,OAXACA,MORENA,9,PUERTO,MORENA,MORENA
,,,,ESCONDIDO,,
119,PUEBLA,PVEM,1,HUAUCHINANGO,PARTIDO VERDE,PARTIDO VERDE
,,,,DEGOLLADO,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
120,PUEBLA,PVEM,2,CUAUTILULCO,PARTIDO VERDE,PARTIDO VERDE
,,,,BARRIO,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
121,PUEBLA,PT,3,TEZIUTLÁN,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
122,PUEBLA,MORENA,4,AJALPAN,MORENA,MORENA
